Id,Time,Lat,Lon,Alt,SSID,MAC,Channel,Signal
0,01/12/2017 10:42:54,32.17224246105308,34.8144489381276,7.777438959165592,HOTBOX-D88A,c0:ac:54:f5:b4:c9,1,-92
1,01/12/2017 10:43:00,32.172238019565235,34.81444473498782,10.580361150029846,Efrat,b4:ee:b4:86:c0:f1,11,-74
2,01/12/2017 10:43:06,32.172252019523675,34.814391891326764,17.18081811626479,angela,80:1f:02:f5:d8:e8,1,-89
3,01/12/2017 10:43:18,32.172265215924426,34.81421445142988,22.818991521293682,KarvatB0.5,14:ae:db:cc:ed:6d,48,-89
4,01/12/2017 10:43:29,32.1723485161587,34.81363858823374,24.55807198020147,Bezeq Free GA32E3,52:b0:ce:ac:32:98,1,-80
5,01/12/2017 10:43:33,32.17238058500455,34.81341290942063,25.130925493340825,dobry2016,6c:b0:ce:ac:32:9b,1,-69
6,01/12/2017 10:43:37,32.17241155333384,34.81318688512261,25.941801984532795,DIR-825-4f83,80:26:89:0d:4f:84,1,-66
7,01/12/2017 10:43:37,32.17241155333384,34.81318688512261,25.941801984532795,Partner,42501_13111_7943940,0,-105
8,01/12/2017 10:43:41,32.17244042298214,34.81295646141121,26.35851917429424,DIR-825-4f83,80:26:89:0d:4f:84,1,-57
9,01/12/2017 10:43:45,32.17248344093608,34.81270507338805,27.122038414759338,ELDAD,10:0d:7f:80:17:80,11,-78
10,01/12/2017 10:43:45,32.17248344093608,34.81270507338805,27.122038414759338,Eldad_2EX,80:1f:02:e8:b9:cc,11,-82
11,01/12/2017 10:43:57,32.17240151409594,34.812091884783165,29.035709105267408,urigil1,a0:ab:1b:5d:c2:60,10,-90
12,01/12/2017 10:43:57,32.17240151409594,34.812091884783165,29.035709105267408,INGENEO,cc:b2:55:e8:4c:e6,6,-91
13,01/12/2017 10:43:57,32.17240151409594,34.812091884783165,29.035709105267408,Partner,42501_13111_7943940,0,-103
14,01/12/2017 10:44:01,32.17217553070084,34.81201239183262,29.32418162501339,Helen.,a0:ab:1b:57:cd:42,10,-79
15,01/12/2017 10:44:01,32.17217553070084,34.81201239183262,29.32418162501339,U2I8L1M0X42,54:64:d9:66:29:ef,11,-85
